game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Azkend 2 - The World Beneath (USA) (PSN),0049,,Azkend 2 - The World Beneath (USA) (PSN),PCSE00861,Azkend 2 - The World Beneath (USA) (PSN).vpk,63077443,c9ff1cdc,b29bb429503ebcc75ba105cbe67769c1,c4379d7e64e087bbbb1a54f28c989b1f6524eed8,
"BlazBlue - Chrono Phantasma Extend (Europe) (En,Ja) (Story & Gallery Mode) (DLC)",0025,,"BlazBlue - Chrono Phantasma Extend (Europe) (En,Ja) (Story & Gallery Mode) (DLC)",PCSB00863,"BlazBlue - Chrono Phantasma Extend (Europe) (En,Ja) (Story & Gallery Mode) (DLC).vpk",2277041861,17261ebf,00c41d0ce6dcdd70ab44d25ebf8c9875,5dae9bb81e862535af0794556af388a5be0c0626,
"Borderlands 2 (Europe) (En,Fr,De) (Update 1.07) (DLC)",0028,,"Borderlands 2 (Europe) (En,Fr,De) (Update 1.07) (DLC)",PCSF00570,"Borderlands 2 (Europe) (En,Fr,De) (Update 1.07) (DLC).vpk",286139278,6a2ea6bc,69db88ac1484c3e22e14c750ac954329,0a160929a1b26afc70d01f6ac4baf0e91d92f23a,
"Broken Sword 5 - The Serpent's Curse (Europe) (En,Fr,De,Es,It) (PSN)",0050,,"Broken Sword 5 - The Serpent's Curse (Europe) (En,Fr,De,Es,It) (PSN)",PCSB00483,"Broken Sword 5 - The Serpent's Curse (Europe) (En,Fr,De,Es,It) (PSN).vpk",1812753147,6258f78e,546e3f25c4bbfb0ecd0c22c0f8a885a8,6c6bc7260634a9f8930c83abb9da48b1a9412e0c,
Bullet Girls (Japan) (First Wave) (DLC),0030,,Bullet Girls (Japan) (First Wave) (DLC),PCSG00361,Bullet Girls (Japan) (First Wave) (DLC).vpk,2775244,19ee373f,1799239c4dcc6895e98ba8e746cc380a,b95435e286e409e32f768845515e7aa861de2039,
"CastleStorm (Europe) (En,Fr,De,Es,It) (PSN)",0048,,"CastleStorm (Europe) (En,Fr,De,Es,It) (PSN)",PCSB00111,"CastleStorm (Europe) (En,Fr,De,Es,It) (PSN).vpk",266272174,3a95a5f6,49677d3fd805ba01d691eeac4dd566ce,cdf776bbf5d4c8ff6c475e2fda150391a0add0d8,
Crimsonland (USA) (PSN),0007,,Crimsonland (USA) (PSN),PCSE00453,Crimsonland (USA) (PSN).vpk,43255213,7349cc6c,abbd683bbe9574f298d59e02b13c8ddf,90b637259d001bfab59d66d50e3cae4606c8238a,
Croixleur Sigma (Europe) (PSN),0045,,Croixleur Sigma (Europe) (PSN),PCSB00767,Croixleur Sigma (Europe) (PSN).vpk,847619158,aa052226,a51ecebfa5f7bf3d68081e2545af606b,69bdb1735cafd7bf385b174c8dfa08e097daf15a,
Dai-3-Ji Super Robot Taisen Z Jigoku-hen (Japan) (PSN),0020,,Dai-3-Ji Super Robot Taisen Z Jigoku-hen (Japan) (PSN),PCSG00264,Dai-3-Ji Super Robot Taisen Z Jigoku-hen (Japan) (PSN).vpk,2338596354,faa4f69b,b29bef2a564c0d7cfd30272966c8c59a,c954cc07be63034a314d92523934953589e6f781,
Dragon Quest Builders (USA) (Day One Edition) (DLC),0024,,Dragon Quest Builders (USA) (Day One Edition) (DLC),PCSE00912,Dragon Quest Builders (USA) (Day One Edition) (DLC).vpk,51486,15a1281c,dc086d70b3de61a82dcd57848d3c571c,c23a3ec6720778b9c262af4a7b9876e5c92d1793,
